Nifty 100 ratio engine edge case log - generated 2026-09-10T08:51:16

[1] RETURN CROSS-CHECK ANOMALIES - 2
SIEMENS 2024-09 return_on_capital_employed_pct: computed=17.74 source=25.6 diff=7.86 category=version difference
PNB 2024-03 return_on_equity_pct: computed=61.32 source=8.7 diff=52.62 category=formula discrepancy

[2] CAGR SIGN EDGE CASES - 330
ADANIGREEN 2024-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
ADANIPOWER 2018-03 eps_cagr_5yr: flag=BOTH_NEGATIVE category=handled edge case
ADANIPOWER 2019-03 eps_cagr_5yr: flag=BOTH_NEGATIVE category=handled edge case
ADANIPOWER 2020-03 eps_cagr_5yr: flag=BOTH_NEGATIVE category=handled edge case
ADANIPOWER 2022-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
ADANIPOWER 2023-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
ADANIPOWER 2024-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
BANKBARODA 2018-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
BANKBARODA 2021-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
BANKBARODA 2023-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
BHARTIARTL 2020-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
BHARTIARTL 2021-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
BHEL 2020-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
BHEL 2021-03 eps_cagr_5yr: flag=BOTH_NEGATIVE category=handled edge case
CANBK 2018-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
CANBK 2020-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
CANBK 2021-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
CANBK 2023-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
DLF 2020-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
GODREJCP 2024-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
HINDALCO 2021-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
INDIGO 2020-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
INDIGO 2021-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
INDIGO 2022-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
INDIGO 2023-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
IOC 2020-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
JINDALSTEL 2018-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
JINDALSTEL 2019-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
JINDALSTEL 2020-03 eps_cagr_5yr: flag=BOTH_NEGATIVE category=handled edge case
JINDALSTEL 2021-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
JINDALSTEL 2022-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
JINDALSTEL 2023-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
JINDALSTEL 2024-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
JSWENERGY 2023-03 eps_cagr_5yr: flag=ZERO_BASE category=handled edge case
JSWSTEEL 2021-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
NAUKRI 2020-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
NAUKRI 2022-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
NAUKRI 2023-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
PNB 2018-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
PNB 2019-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
PNB 2021-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
PNB 2023-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
PNB 2024-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
SBIN 2018-03 eps_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
SBIN 2022-03 eps_cagr_5yr: flag=ZERO_BASE category=handled edge case
SBIN 2023-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
TATACONSUM 2021-03 eps_cagr_5yr: flag=ZERO_BASE category=handled edge case
